Product Name,Price,Original Price,Discount,Rating,Reviews,Features,Page Number
MOTOROLA Moto A300,"₹1,496","₹1,999",25% off,4.1,"1,281 Ratings & 64 Reviews",4 MB RAM | 32 MB ROM | Expandable Upto 64 GB | 5.08 cm (2 inch) HVGA Display | 1.3MP + 0MP | 0MP Front Camera | 1000 mAh Battery | Mtk Processor | 2 Years Domestic Replacement Warranty,12
"vivo T4x 5G (Marine Blue, 128 GB)","₹16,999","₹17,999",5% off,4.4,"1,75,309 Ratings & 8,808 Reviews",6 GB RAM | 128 GB ROM | 17.07 cm (6.72 inch) Display | 50MP + 2MP | 8MP Front Camera | 6500 mAh Battery | Dimensity 7300 5G Processor | 1 Year Warranty for Device and 6 Months Warranty for Accessories,13
"realme P4 5G (Steel Grey, 128 GB)","₹20,999",,,4.4,"20,693 Ratings & 1,377 Reviews",6 GB RAM | 128 GB ROM | 17.2 cm (6.77 inch) Display | 50MP + 8MP | 16MP Front Camera | 7000 mAh Battery | Mediatek Dimensity 7400 Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,13
"vivo T5x 5G (Cyber Green, 128 GB)","₹22,999","₹28,999",20% off,4.4,"5,072 Ratings & 344 Reviews",6 GB RAM | 128 GB ROM | 17.17 cm (6.76 inch) Display | 50MP + 2MP | 32MP Front Camera | 7200 mAh Li-ion Battery | Dimensity 7400-Turbo Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,13
"realme P4 5G (Steel Grey, 256 GB)","₹23,999",,,4.4,"16,656 Ratings & 1,127 Reviews",8 GB RAM | 256 GB ROM | 17.2 cm (6.77 inch) Display | 50MP + 8MP | 16MP Front Camera | 7000 mAh Battery | Mediatek Dimensity 7400 Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,13
Kechaoda A27,₹960,"₹1,499",35% off,4,"16,828 Ratings & 888 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 1.68 cm (0.66 inch) FWVGA Display | 0MP | 0MP Front Camera | 800 mAh Battery | processor speed 400MHZ Processor | 3 Months Company Warranty,13
"Nothing Phone (4a) (Blue, 256 GB)","₹40,999",,,4.5,646 Ratings & 61 Reviews,12 GB RAM | 256 GB ROM | 17.22 cm (6.78 inch) Full HD+ AMOLED Display | 50MP + 50MP + 8MP | 32MP Front Camera | 5400 mAh Lithium ion Battery | Snapdragon 7s Gen 4 Processor | 1 Year Manufacturing Warranty,13
"Tecno Pova Slim 5G (Cool Black, 128 GB)","₹20,658","₹24,999",17% off,4.3,"1,159 Ratings & 83 Reviews",8 GB RAM | 128 GB ROM | 17.22 cm (6.78 inch) Display | 50MP + 2MP | 13MP Front Camera | 5160 mAh Battery | Dimensity 6400 5G Processor | 1 Year Manufacturer Warranty for Phone,13
"REDMI 15A (Ace Black, 64 GB)","₹13,499","₹16,999",20% off,4.1,126 Ratings & 12 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB | 17.53 cm (6.9 inch) Display | 32MP Rear Camera | 8MP Front Camera | 6300 mAh Lithium-Ion Polymer Battery | T8300 Processor | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,13
"realme Narzo 90x 5G (Marine Blue, 128 GB)","₹17,784","₹17,999",1% off,4.4,655 Ratings & 32 Reviews,8 GB RAM | 128 GB ROM | 17.27 cm (6.8 inch) Display | 50MP Rear Camera | 7000 mAh Battery | 12 Months Brand Warranty,13
"Samsung M36 5G (Light Green, 256 GB)","₹26,690","₹29,999",11% off,4.1,657 Ratings & 40 Reviews,8 GB RAM | 256 GB ROM | 17.02 cm (6.7 inch) Display | 50MP Rear Camera | 5000 mAh Battery | 1 Year Warranty,13
"Samsung Galaxy A17 5G Charger in the Box (Gray, 128 GB)","₹20,999","₹23,499",10% off,4.3,962 Ratings & 71 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB | 17.02 cm (6.7 inch) Full HD+ Display | 50MP + 5MP + 2MP | 13MP Front Camera | 5000 mAh Battery | Samsung Exynos 1330 Processor | 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,13
LAVA A3 Torch,"₹1,339","₹1,649",18% off,4.1,926 Ratings & 53 Reviews,4 MB RAM | 32 MB ROM | Expandable Upto 32 GB | 4.57 cm (1.8 inch) HVGA Display | 0.3MP + 0MP | 0MP Front Camera | 1750 mAh Battery | Mtk Processor | 1 Year Handset Domestic warranty,13
"Samsung Galaxy A17 5G Charger in the Box (Gray, 128 GB)","₹19,499","₹21,999",11% off,4.4,907 Ratings & 61 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB | 17.02 cm (6.7 inch) Full HD+ Display | 50MP + 5MP + 2MP | 13MP Front Camera | 5000 mAh Battery | Samsung Exynos 1330 Processor | 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,13
Jmax MINI,₹777,"₹1,499",48% off,3.7,262 Ratings & 8 Reviews,32 MB RAM | 32 MB ROM | 2.54 cm (1 inch) Display | 1MP Rear Camera | 800 mAh Battery | 1 Year Manufacturer Warranty,13
"Samsung M36 5G (Velvet Black / Black, 128 GB)","₹18,812","₹24,499",23% off,4.1,657 Ratings & 40 Reviews,8 GB RAM | 128 GB ROM | 17.02 cm (6.7 inch) Display | 50MP Rear Camera | 5000 mAh Battery | 1 Year Warranty,13
"realme Narzo 90x 5G (Marine Blue, 128 GB)","₹16,425","₹16,999",3% off,4.3,"1,779 Ratings & 103 Reviews",6 GB RAM | 128 GB ROM | 17.27 cm (6.8 inch) Display | 50MP Rear Camera | 7000 mAh Battery | 12 Months Brand Warranty,13
"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 128 GB)","₹22,999","₹24,999",8% off,4.4,"1,15,882 Ratings & 6,741 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 16.94 cm (6.67 inch) Display | 50MP + 13MP | 32MP Front Camera | 5500 mAh Battery | Dimensity 7400 Processor | 68W Charger | 1 Year Warranty on Handset and 6 Months Warranty on Accessories,13
"vivo T4 Ultra 5G (Meteor Grey, 256 GB)","₹35,999","₹40,999",12% off,4.5,"5,887 Ratings & 599 Reviews",8 GB RAM | 256 GB ROM | 16.94 cm (6.67 inch) Full HD+ AMOLED Display | 50MP + 8MP + 50MP Periscope | 32MP Front Camera | 5500 mAh Battery | Dimensity 9300+ Processor | 1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories,13
"realme P4x 5G (Elegant Pink, 128 GB)","₹20,499","₹23,499",12% off,4.3,"4,383 Ratings & 325 Reviews",8 GB RAM | 128 GB ROM | 17.07 cm (6.72 inch) Full HD+ Display | 50MP + 2MP | 8MP Front Camera | 7000 mAh Battery | Dimensity 7400 Ultra Processor | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,13
Kechaoda K33,₹998,"₹2,200",54% off,4,"11,218 Ratings & 620 Reviews",32 MB RAM | 32 GB ROM | Expandable Upto 32 MB | 3.66 cm (1.44 inch) NA Display | 0.3MP + 0MP | 0MP Front Camera | 800 mAh Battery | NA Processor | 1 Year Manufacturer Warranty,13
Kechaoda A26_rose gold,₹899,"₹1,499",40% off,3.9,704 Ratings & 19 Reviews,32 MB RAM | 16 GB ROM | Expandable Upto 32 MB | 1.68 cm (0.66 inch) NA Display | 0MP | 0MP Front Camera | 800 mAh Battery | NA Processor | 3 Months Company Warranty,13
"OPPO K14 5G (Prism Violet, 256 GB)","₹21,999","₹27,999",21% off,4.3,491 Ratings & 31 Reviews,6 GB RAM | 256 GB ROM | 17.14 cm (6.75 inch) HD+ Display | 50MP Rear Camera | 8MP Front Camera | 7000 mAh Battery | Dimensity 6300 Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,13
"OPPO K14 5G (Prism White, 256 GB)","₹21,999","₹27,999",21% off,4.3,491 Ratings & 31 Reviews,6 GB RAM | 256 GB ROM | 17.14 cm (6.75 inch) HD+ Display | 50MP Rear Camera | 8MP Front Camera | 7000 mAh Battery | Dimensity 6300 Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,13
"realme Narzo 90x 5G (Aqua Blue, 128 GB)","₹17,472","₹17,999",2% off,4.4,655 Ratings & 32 Reviews,8 GB RAM | 128 GB ROM | 17.27 cm (6.8 inch) Display | 50MP Rear Camera | 7000 mAh Battery | 12 Months Brand Warranty,13
"IQOO Neo 10 (Inferno Red, 256 GB)","₹38,975","₹38,999",,4.5,"1,641 Ratings & 124 Reviews",8 GB RAM | 256 GB ROM | 17.22 cm (6.78 inch) Full HD+ E3 Super AMOLED Display | 50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera | 7000 mAh Battery | Qualcomm Processor | Domestic warranty 1 year for handset and 6 months for accessories,14
"IQOO Z11x 5G (Prismatic Green, 256 GB)","₹27,970","₹33,999",17% off,4.3,573 Ratings & 51 Reviews,8 GB RAM | 256 GB ROM | 17.02 cm (6.7 inch) Display | 50MP Rear Camera | 7200 mAh Battery | 12 Months Brand Warranty,14
"POCO C75 5G (Silver Stardust, 128 GB)","₹11,499",,,4.2,"1,48,975 Ratings & 6,745 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 17.48 cm (6.88 inch) HD+ Display | 50MP Rear Camera | 5MP Front Camera | 5160 mAh Battery | 4s Gen 2 5G Processor | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,14
